specification,theme_chinese,theme,term,coefficient,std_error,z_value,p_value,ci_low,ci_high,n_months,converged,q_value_bh,significant_fdr_005
anylabel_share_aug2021,校外培训与隐形变异,Shadow Education,time,-0.004359425596717364,0.002625273750121032,-1.660560387851508,0.0968017702007047,-0.009504867596512992,0.000786016403078264,180,True,,False
anylabel_share_aug2021,校外培训与隐形变异,Shadow Education,post_policy,-1.3102085184708718,0.39434523220508555,-3.322491085145102,0.0008921752218061683,-2.0831109710679243,-0.5373060658738195,180,True,0.0027133336130708125,True
anylabel_share_aug2021,校外培训与隐形变异,Shadow Education,post_time,0.03604215568403344,0.009909173389378485,3.63725149089293,0.00027556284569030357,0.016620532724288914,0.05546377864377797,180,True,0.000642979973277375,True
anylabel_share_aug2021,校外培训与隐形变异,Shadow Education,post_period_slope,0.03168273008731608,0.009976969347316495,3.1755865919180937,0.0014953388529272082,0.012127870166575745,0.05123759000805641,180,True,,False
anylabel_share_aug2021,培训退费与机构纠纷,Refund Disputes,time,0.032385778805820574,0.006756734342832099,4.793111163261454,1.642145716274281e-06,0.01914282284076475,0.045628734770876395,180,True,,False
anylabel_share_aug2021,培训退费与机构纠纷,Refund Disputes,post_policy,1.1129202073073987,0.3134075523351181,3.551031872127267,0.00038372394545048037,0.49865269224771513,1.7271877223670824,180,True,0.0026860676181533626,True
anylabel_share_aug2021,培训退费与机构纠纷,Refund Disputes,post_time,-0.09541622187704506,0.01699266998572893,-5.615140054928338,1.964030973784719e-08,-0.1287212430502485,-0.0621112007038416,180,True,1.3748216816493033e-07,True
anylabel_share_aug2021,培训退费与机构纠纷,Refund Disputes,post_period_slope,-0.06303044307122449,0.015580212641658415,-4.04554446854554,5.2201654941756384e-05,-0.09356765984887498,-0.032493226293574,180,True,,False
anylabel_share_aug2021,学校课后服务,After-school Services,time,-0.0016682665770964757,0.0011223600547169811,-1.4863916174539484,0.1371755657631999,-0.003868051862028163,0.0005315187078352116,180,True,,False
anylabel_share_aug2021,学校课后服务,After-school Services,post_policy,0.2760829302390589,0.11600665545831723,2.37988871542167,0.01731786711226951,0.04871406357381022,0.5034517969043075,180,True,0.030306267446471646,True
anylabel_share_aug2021,学校课后服务,After-school Services,post_time,0.009957225047375954,0.0029585131980026215,3.3656179239282644,0.0007637241458142314,0.004158645731504398,0.01575580436324751,180,True,0.001336517255174905,True
anylabel_share_aug2021,学校课后服务,After-school Services,post_period_slope,0.008288958470279478,0.0026311413034555125,3.1503281330400155,0.0016308717960604895,0.003131921515506673,0.013445995425052282,180,True,,False
anylabel_share_aug2021,家庭教育压力与时间成本,Family Pressure,time,-0.00415827882405575,0.001312329878613286,-3.1686231425666573,0.0015316285015704145,-0.006730398121973612,-0.001586159526137889,180,True,,False
anylabel_share_aug2021,家庭教育压力与时间成本,Family Pressure,post_policy,0.021319711280012706,0.07743101761422205,0.2753381259462724,0.7830564757208365,-0.13044229453014908,0.17308171709017448,180,True,0.7830564757208365,False
anylabel_share_aug2021,家庭教育压力与时间成本,Family Pressure,post_time,-0.0006461927790542118,0.002128159352261843,-0.30363928263521595,0.7614027204585181,-0.004817308462849514,0.00352492290474109,180,True,0.7614027204585181,False
anylabel_share_aug2021,家庭教育压力与时间成本,Family Pressure,post_period_slope,-0.004804471603109962,0.001740369594171674,-2.760604195338544,0.005769455088317325,-0.008215596007686444,-0.0013933471985334814,180,True,,False
anylabel_share_aug2021,学生身心健康,Student Well-being,time,-0.004406484852925316,0.0007971476174252749,-5.527815371458954,3.2424301251855665e-08,-0.005968865473440768,-0.0028441042324098636,180,True,,False
anylabel_share_aug2021,学生身心健康,Student Well-being,post_policy,-0.35098447568796604,0.10806713471700216,-3.2478373430284515,0.0011628572627446338,-0.5627921676457284,-0.13917678373020367,180,True,0.0027133336130708125,True
anylabel_share_aug2021,学生身心健康,Student Well-being,post_time,0.017956491781034912,0.004091881861491869,4.3883211658725925,1.1422900694117365e-05,0.009936550703518135,0.02597643285855169,180,True,3.9980152429410775e-05,True
anylabel_share_aug2021,学生身心健康,Student Well-being,post_period_slope,0.013550006928109596,0.003995679709766152,3.3911644356756043,0.0006959633109461308,0.005718474696967938,0.021381539159251256,180,True,,False
